[2024-03-31 15:51:14] udpate moving average: 104040.KQ, row: 670
[2024-03-31 15:51:16] udpate moving average: 004250.KS, row: 672
[2024-03-31 15:51:18] udpate moving average: KIM PR L, row: 0
[2024-03-31 15:51:20] udpate moving average: ADSK, row: 688
[2024-03-31 15:51:22] udpate moving average: SBOW, row: 688
[2024-03-31 15:51:24] udpate moving average: ORGN, row: 688
[2024-03-31 15:51:26] udpate moving average: 036120.KQ, row: 670
[2024-03-31 15:51:28] udpate moving average: CMP, row: 688
[2024-03-31 15:51:30] udpate moving average: SNDR, row: 688
[2024-03-31 15:51:32] udpate moving average: CHKP, row: 688
[2024-03-31 15:51:34] udpate moving average: PMF, row: 688
[2024-03-31 15:51:36] udpate moving average: 251630.KQ, row: 670
[2024-03-31 15:51:38] udpate moving average: AEO, row: 688
[2024-03-31 15:51:40] udpate moving average: 034300.KS, row: 672
[2024-03-31 15:51:42] udpate moving average: ALL PR J, row: 0
[2024-03-31 15:51:43] udpate moving average: NYMTZ, row: 592
[2024-03-31 15:51:45] udpate moving average: RLYB, row: 671
[2024-03-31 15:51:47] udpate moving average: HFWA, row: 688
[2024-03-31 15:51:49] udpate moving average: WSFS, row: 688
[2024-03-31 15:51:51] udpate moving average: IIIV, row: 688
[2024-03-31 15:51:53] udpate moving average: 457630.KQ, row: 99
[2024-03-31 15:51:54] udpate moving average: CLCO, row: 259
[2024-03-31 15:51:56] udpate moving average: ENZ, row: 688
[2024-03-31 15:51:58] udpate moving average: IROHU, row: 64
[2024-03-31 15:51:59] udpate moving average: 032080.KQ, row: 668
[2024-03-31 15:52:01] udpate moving average: SFWL, row: 250
[2024-03-31 15:52:03] udpate moving average: JELD, row: 688
[2024-03-31 15:52:05] udpate moving average: 357250.KS, row: 672
[2024-03-31 15:52:07] udpate moving average: PCTTU, row: 688
[2024-03-31 15:52:08] udpate moving average: RLI, row: 688
[2024-03-31 15:52:10] udpate moving average: DOGZ, row: 688
[2024-03-31 15:52:12] udpate moving average: 131180.KQ, row: 668
[2024-03-31 15:52:14] udpate moving average: 005387.KS, row: 20
[2024-03-31 15:52:15] udpate moving average: AACI, row: 598
[2024-03-31 15:52:17] udpate moving average: BEEM, row: 688
[2024-03-31 15:52:19] udpate moving average: BCLI, row: 688
[2024-03-31 15:52:21] udpate moving average: QSG, row: 296
[2024-03-31 15:52:22] udpate moving average: CASY, row: 688
[2024-03-31 15:52:24] udpate moving average: MTC, row: 688
[2024-03-31 15:52:26] udpate moving average: ANGO, row: 688
[2024-03-31 15:52:28] udpate moving average: LUNG, row: 688
[2024-03-31 15:52:30] udpate moving average: DMA, row: 0
[2024-03-31 15:52:31] udpate moving average: FORM, row: 688
[2024-03-31 15:52:33] udpate moving average: 027710.KQ, row: 670
[2024-03-31 15:52:34] udpate moving average: HNST, row: 688
[2024-03-31 15:52:36] udpate moving average: 031310.KQ, row: 669
[2024-03-31 15:52:38] udpate moving average: EMKR, row: 688
[2024-03-31 15:52:40] udpate moving average: TATT, row: 688
[2024-03-31 15:52:42] udpate moving average: LYRA, row: 688
[2024-03-31 15:52:43] udpate moving average: 101530.KS, row: 672
[2024-03-31 15:52:45] udpate moving average: SQFTP, row: 688
[2024-03-31 15:52:47] udpate moving average: 354200.KQ, row: 669
[2024-03-31 15:52:49] udpate moving average: WLDS, row: 388
[2024-03-31 15:52:51] udpate moving average: NBST, row: 688
[2024-03-31 15:52:53] udpate moving average: NXC, row: 688
[2024-03-31 15:52:55] udpate moving average: KYMR, row: 688
[2024-03-31 15:52:57] udpate moving average: PROP, row: 99
[2024-03-31 15:52:58] udpate moving average: 035290.KQ, row: 472
[2024-03-31 15:53:00] udpate moving average: 046120.KQ, row: 670
[2024-03-31 15:53:02] udpate moving average: 142210.KQ, row: 671
[2024-03-31 15:53:04] udpate moving average: 007680.KQ, row: 664
[2024-03-31 15:53:05] udpate moving average: 134580.KQ, row: 667
