[2024-06-07 23:58:52] udpate price_detail: 002240.KS[2024-06-07 23:58:55] , row: 735
[2024-06-07 23:58:55] udpate price_detail: 017810.KS[2024-06-07 23:58:58] , row: 403
[2024-06-07 23:58:58] udpate price_detail: 017860.KS[2024-06-07 23:59:00] , row: 108
[2024-06-07 23:59:00] udpate price_detail: 030610.KS[2024-06-07 23:59:02] , row: 735
[2024-06-07 23:59:02] udpate price_detail: 000370.KS[2024-06-07 23:59:05] , row: 735
[2024-06-07 23:59:05] udpate price_detail: 033240.KS[2024-06-07 23:59:08] , row: 735
[2024-06-07 23:59:08] udpate price_detail: 293940.KS[2024-06-07 23:59:11] , row: 735
[2024-06-07 23:59:11] udpate price_detail: 003470.KS[2024-06-07 23:59:14] , row: 735
[2024-06-07 23:59:14] udpate price_detail: 071320.KS[2024-06-07 23:59:17] , row: 735
[2024-06-07 23:59:17] udpate price_detail: 383800.KS[2024-06-07 23:59:20] , row: 735
[2024-06-07 23:59:20] udpate price_detail: 460860.KS[2024-06-07 23:59:23] , row: 236
[2024-06-07 23:59:23] udpate price_detail: 090435.KS[2024-06-07 23:59:26] , row: 701
[2024-06-07 23:59:26] udpate price_detail: 950210.KS[2024-06-07 23:59:29] , row: 735
[2024-06-07 23:59:29] udpate price_detail: 002030.KS[2024-06-07 23:59:32] , row: 735
[2024-06-07 23:59:32] udpate price_detail: 145990.KS[2024-06-07 23:59:35] , row: 735
[2024-06-07 23:59:35] udpate price_detail: 00680K.KS[2024-06-07 23:59:38] , row: 735
[2024-06-07 23:59:38] udpate price_detail: 005610.KS[2024-06-07 23:59:41] , row: 735
[2024-06-07 23:59:41] udpate price_detail: 284740.KS[2024-06-07 23:59:44] , row: 735
[2024-06-07 23:59:44] udpate price_detail: 009470.KS[2024-06-07 23:59:47] , row: 715
[2024-06-07 23:59:47] udpate price_detail: 017940.KS[2024-06-07 23:59:51] , row: 735
[2024-06-07 23:59:51] udpate price_detail: 012630.KS[2024-06-07 23:59:53] , row: 735
[2024-06-07 23:59:53] udpate price_detail: 200880.KS[2024-06-07 23:59:57] , row: 735
[2024-06-07 23:59:57] udpate price_detail: 104700.KS[2024-06-08 00:00:00] , row: 701
[2024-06-08 00:00:00] udpate price_detail: 432320.KS[2024-06-08 00:00:02] , row: 409
[2024-06-08 00:00:02] udpate price_detail: 026890.KS[2024-06-08 00:00:05] , row: 715
[2024-06-08 00:00:05] udpate price_detail: 001820.KS[2024-06-08 00:00:08] , row: 701
[2024-06-08 00:00:08] udpate price_detail: 075580.KS[2024-06-08 00:00:11] , row: 403
[2024-06-08 00:00:11] udpate price_detail: 093050.KS[2024-06-08 00:00:14] , row: 701
[2024-06-08 00:00:14] udpate price_detail: 011930.KS[2024-06-08 00:00:17] , row: 715
[2024-06-08 00:00:17] udpate price_detail: 377740.KS[2024-06-08 00:00:20] , row: 355
[2024-06-08 00:00:20] udpate price_detail: 071970.KS[2024-06-08 00:00:22] , row: 701
[2024-06-08 00:00:22] udpate price_detail: 020000.KS[2024-06-08 00:00:25] , row: 735
[2024-06-08 00:00:25] udpate price_detail: 286940.KS[2024-06-08 00:00:28] , row: 735
[2024-06-08 00:00:28] udpate price_detail: 058650.KS[2024-06-08 00:00:31] , row: 735
[2024-06-08 00:00:31] udpate price_detail: 003300.KS[2024-06-08 00:00:34] , row: 701
[2024-06-08 00:00:34] udpate price_detail: 357120.KS[2024-06-08 00:00:36] , row: 735
[2024-06-08 00:00:36] udpate price_detail: 453340.KS[2024-06-08 00:00:39] , row: 282
[2024-06-08 00:00:39] udpate price_detail: 097520.KS[2024-06-08 00:00:41] , row: 735
[2024-06-08 00:00:41] udpate price_detail: 034310.KS[2024-06-08 00:00:44] , row: 735
[2024-06-08 00:00:44] udpate price_detail: 003520.KS[2024-06-08 00:00:47] , row: 701
