[2024-06-15 00:51:08] udpate price_detail: 078160.KQ, row: 5
[2024-06-15 00:51:10] udpate price_detail: 089530.KQ, row: 0
[2024-06-15 00:51:13] udpate price_detail: 078890.KQ, row: 5
[2024-06-15 00:51:15] udpate price_detail: 140410.KQ, row: 5
[2024-06-15 00:51:18] udpate price_detail: 445360.KQ, row: 5
[2024-06-15 00:51:20] udpate price_detail: 039200.KQ, row: 5
[2024-06-15 00:51:23] udpate price_detail: 115310.KQ, row: 5
[2024-06-15 00:51:25] udpate price_detail: 263750.KQ, row: 5
[2024-06-15 00:51:28] udpate price_detail: 140860.KQ, row: 5
[2024-06-15 00:51:30] udpate price_detail: 060230.KQ, row: 5
[2024-06-15 00:51:33] udpate price_detail: 065420.KQ, row: 5
[2024-06-15 00:51:35] udpate price_detail: 057540.KQ, row: 5
[2024-06-15 00:51:38] udpate price_detail: 079960.KQ, row: 5
[2024-06-15 00:51:40] udpate price_detail: 053950.KQ, row: 5
[2024-06-15 00:51:44] udpate price_detail: 000250.KQ, row: 5
[2024-06-15 00:51:47] udpate price_detail: 126640.KQ, row: 5
[2024-06-15 00:51:49] udpate price_detail: 290270.KQ, row: 5
[2024-06-15 00:51:52] udpate price_detail: 192390.KQ, row: 5
[2024-06-15 00:51:54] udpate price_detail: 018680.KQ, row: 5
[2024-06-15 00:51:56] udpate price_detail: 217500.KQ, row: 5
[2024-06-15 00:51:59] udpate price_detail: 114810.KQ, row: 5
[2024-06-15 00:52:01] udpate price_detail: 083640.KQ, row: 5
[2024-06-15 00:52:04] udpate price_detail: 144960.KQ, row: 5
[2024-06-15 00:52:06] udpate price_detail: 405920.KQ, row: 5
[2024-06-15 00:52:09] udpate price_detail: 232140.KQ, row: 5
[2024-06-15 00:52:11] udpate price_detail: 418210.KQ, row: 5
[2024-06-15 00:52:14] udpate price_detail: 021320.KQ, row: 5
[2024-06-15 00:52:16] udpate price_detail: 043220.KQ, row: 5
[2024-06-15 00:52:19] udpate price_detail: 049070.KQ, row: 5
[2024-06-15 00:52:22] udpate price_detail: 217190.KQ, row: 5
[2024-06-15 00:52:24] udpate price_detail: 104540.KQ, row: 5
[2024-06-15 00:52:27] udpate price_detail: 122690.KQ, row: 5
[2024-06-15 00:52:29] udpate price_detail: 041920.KQ, row: 5
[2024-06-15 00:52:32] udpate price_detail: 039240.KQ, row: 5
[2024-06-15 00:52:35] udpate price_detail: 021045.KQ, row: 5
[2024-06-15 00:52:37] udpate price_detail: 452980.KQ, row: 5
[2024-06-15 00:52:40] udpate price_detail: 093640.KQ, row: 5
[2024-06-15 00:52:42] udpate price_detail: 039340.KQ, row: 5
[2024-06-15 00:52:45] udpate price_detail: 413630.KQ, row: 5
